;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Np,b;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
0;3,69;4,58;5;22,9;29,312;134,24896;26,793;122,71194;2;6;0;1373,184;294,912;0;294,912;1250;5014839,623
1;3,69;4,58;5;22,9;29,312;134,24896;26,793;122,71194;6;6;0;1373,184;294,912;0;294,912;1800;10901890,27
2;3,69;4,58;5;22,9;29,312;134,24896;26,793;122,71194;10;5;0;1144,32;245,76;0;245,76;2000;11133049,73
3;3,69;4,58;5;22,9;29,312;134,24896;44,655;204,5199;2;6;0;1373,184;294,912;0;294,912;1250;5014839,623
4;3,69;4,58;5;22,9;29,312;134,24896;44,655;204,5199;6;6;0;1373,184;294,912;0;294,912;1800;10901890,27
5;3,69;4,58;5;22,9;29,312;134,24896;44,655;204,5199;10;5;0;1144,32;245,76;0;245,76;2000;11133049,73
6;3,69;4,58;5;22,9;29,312;134,24896;62,517;286,32786;2;6;0;1373,184;294,912;0;294,912;1250;5014839,623
7;3,69;4,58;5;22,9;29,312;134,24896;62,517;286,32786;6;6;0;1373,184;294,912;0;294,912;1975;10901890,27
8;3,69;4,58;5;22,9;29,312;134,24896;62,517;286,32786;10;5;0;1144,32;245,76;0;245,76;2000;11133049,73
9;3,69;4,58;5;22,9;58,624;268,49792;26,793;122,71194;2;6;0;1373,184;294,912;0;294,912;1250;4850718,924
10;3,69;4,58;5;22,9;58,624;268,49792;26,793;122,71194;6;6;0;1373,184;294,912;0;294,912;1800;10576085,52
11;3,69;4,58;5;22,9;58,624;268,49792;26,793;122,71194;10;4;0;915,456;196,608;0;196,608;2000;10836495,73
12;3,69;4,58;5;22,9;58,624;268,49792;44,655;204,5199;2;6;0;1373,184;294,912;0;294,912;1250;4850718,924
13;3,69;4,58;5;22,9;58,624;268,49792;44,655;204,5199;6;6;0;1373,184;294,912;0;294,912;1800;10576085,52
14;3,69;4,58;5;22,9;58,624;268,49792;44,655;204,5199;10;4;0;915,456;196,608;0;196,608;2000;10836495,73
15;3,69;4,58;5;22,9;58,624;268,49792;62,517;286,32786;2;6;0;1373,184;294,912;0;294,912;1250;4850718,924
16;3,69;4,58;5;22,9;58,624;268,49792;62,517;286,32786;6;6;0;1373,184;294,912;0;294,912;1800;10576085,52
17;3,69;4,58;5;22,9;58,624;268,49792;62,517;286,32786;10;4;0;915,456;196,608;0;196,608;2000;10836495,73
18;3,69;4,58;5;22,9;158,87104;727,6293632;26,793;122,71194;2;6;0;1373,184;294,912;0;294,912;1250;4289426,135
19;3,69;4,58;5;22,9;158,87104;727,6293632;26,793;122,71194;6;6;0;1373,184;294,912;0;294,912;1800;9461833,261
20;3,69;4,58;5;22,9;158,87104;727,6293632;26,793;122,71194;10;4;0;915,456;196,608;0;196,608;2000;9829081,655
