n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;430075.69021745585;ideal
3;60;1;0.0;0.0;665935.7805837113;ideal
4;80;1;0.0;0.0;879403.1711312151;ideal
5;100;1;0.0;0.0;1018060.1253035422;ideal
6;120;1;0.0;0.0;8.792410265654325;ideal
7;140;2;0.0;0.0;597343.6946637733;ideal
8;160;1;0.0;0.0;61395.60092858225;ideal
9;180;1;0.0;0.0;105445.22954573669;ideal
10;200;1;0.0;0.0;112850.33045931533;ideal
11;220;4;0.0;0.0;0.0;f
12;240;1;0.0;0.0;89.10299253091216;ideal
13;260;2;0.0;0.0;121396.78335789591;ideal
14;280;4;0.0;0.0;0.0;f
15;300;1;0.0;0.0;862.1336617488414;ideal
16;320;2;0.0;0.0;0.0;f
17;340;1;0.0;0.0;45480.5902605094;ideal
18;360;1;0.0;0.0;0.0;f
19;380;2;0.0;0.0;0.0;f
20;400;8;0.0;0.0;0.0;f
21;420;20;0.0;0.0;0.0;f
22;440;1;0.0;0.0;1263.562178876251;ideal
23;460;3;0.0;0.0;0.0;f
24;480;1;0.0;0.0;1456.7608222756535;ideal
25;500;2;0.0;0.0;0.0;f
26;520;4;0.0;0.0;0.0;f
27;540;12;0.0;0.0;0.0;f
28;560;1;0.0;0.0;1646.8576228655875;ideal
29;580;3;0.0;0.0;0.0;f
30;600;1;0.0;0.0;558.9653314333409;ideal
