n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;0.0;f
3;60;1;0.0;0.0;0.0;f
4;80;1;0.0;0.0;0.0;f
5;100;1;0.0;0.0;1868.6460014600307;ideal
6;120;2;0.0;0.0;0.0;f
7;140;7;0.0;0.0;0.0;f
8;160;14;0.0;0.0;0.0;f
9;180;1;0.0;0.0;73146.17736670375;ideal
10;200;1;0.0;0.0;123101.06844636984;ideal
11;220;1;0.0;0.0;119619.67433727346;ideal
12;240;1;0.0;0.0;14981.783373637125;ideal
13;260;1;0.0;0.0;175980.1018157564;ideal
14;280;2;0.0;0.0;0.0;f
15;300;1;0.0;0.0;3261.822320925072;ideal
16;320;1;0.0;0.0;3149.11811991781;ideal
17;340;1;0.0;0.0;225636.6991157774;ideal
18;360;1;0.0;0.0;9442.813524095342;ideal
19;380;3;0.0;0.0;0.0;f
20;400;1;0.0;0.0;79702.36292223074;ideal
21;420;3;0.0;0.0;0.0;f
22;440;8;0.0;0.0;0.0;f
23;460;20;0.0;0.0;0.0;f
24;480;20;0.0;0.0;0.0;f
25;500;20;0.0;0.0;0.0;f
26;520;20;0.0;0.0;0.0;f
27;540;20;0.0;0.0;0.0;f
28;560;20;0.0;0.0;0.0;f
29;580;20;0.0;0.0;0.0;f
30;600;20;0.0;0.0;0.0;f
