n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;0.0;f
3;60;1;0.0;0.0;0.0;f
4;80;1;0.0;0.0;0.0;f
5;100;1;0.0;0.0;7120.663495951332;ideal
6;120;4;0.0;0.0;0.0;f
7;140;13;0.0;0.0;0.0;f
8;160;20;0.0;0.0;0.0;f
9;180;1;0.0;0.0;151596.25716903992;ideal
10;200;3;0.0;0.0;0.0;f
11;220;8;0.0;0.0;0.0;f
12;240;19;0.0;0.0;0.0;f
13;260;20;0.0;0.0;0.0;f
14;280;20;0.0;0.0;0.0;f
15;300;20;0.0;0.0;0.0;f
16;320;20;0.0;0.0;0.0;f
17;340;20;0.0;0.0;0.0;f
18;360;20;0.0;0.0;0.0;f
19;380;1;0.0;0.0;34984.19075862877;ideal
20;400;3;0.0;0.0;0.0;f
21;420;7;0.0;0.0;0.0;f
22;440;17;0.0;0.0;0.0;f
23;460;20;0.0;0.0;0.0;f
24;480;20;0.0;0.0;0.0;f
25;500;20;0.0;0.0;0.0;f
26;520;20;0.0;0.0;0.0;f
27;540;20;0.0;0.0;0.0;f
28;560;20;0.0;0.0;0.0;f
29;580;20;0.0;0.0;0.0;f
30;600;20;0.0;0.0;0.0;f
