n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;0.0;f
3;60;1;0.0;0.0;1618.3457233421504;ideal
4;80;1;0.0;0.0;14425.465531701222;ideal
5;100;1;0.0;0.0;234645.9204019662;ideal
6;120;1;0.0;0.0;7297.900362047367;ideal
7;140;2;0.0;0.0;0.0;f
8;160;2;0.0;0.0;11645.58003974706;ideal
9;180;5;0.0;0.0;0.0;f
10;200;1;0.0;0.0;2288.1041882205755;ideal
11;220;1;0.0;0.0;4325.241764646955;ideal
12;240;1;0.0;0.0;37925.699102114886;ideal
13;260;1;0.0;0.0;0.0;f
14;280;1;0.0;0.0;6067.516029489227;ideal
15;300;4;0.0;0.0;0.0;f
16;320;11;0.0;0.0;0.0;f
17;340;1;0.0;0.0;650.0558511344716;ideal
18;360;1;0.0;0.0;160055.1781776473;ideal
19;380;1;0.0;0.0;0.0;f
20;400;1;0.0;0.0;63453.989814261906;ideal
21;420;1;0.0;0.0;0.0;f
22;440;1;0.0;0.0;69404.59970258363;ideal
23;460;1;0.0;0.0;0.0;f
24;480;1;0.0;0.0;122.17750997468829;ideal
25;500;1;0.0;0.0;155395.22404249664;ideal
26;520;1;0.0;0.0;5105.685173475184;ideal
27;540;3;0.0;0.0;0.0;f
28;560;7;0.0;0.0;0.0;f
29;580;16;0.0;0.0;0.0;f
30;600;1;0.0;0.0;3304.944800515659;ideal
