;Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
0;Preco Diesel;3,69;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5;13;0;1335,04;286,72;0;286,72;1050;5022550,246
1;Preco Diesel;7,46;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5;26;0;1335,04;286,72;0;286,72;1000;10783384,85
2;Cotacao Dolar;5,78;4,58;10;45,8;12,8;58,624;9,75;44,655;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8307894,82
3;Cotacao Dolar;5,78;6,31;10;63,1;12,8;80,768;9,75;61,5225;6;15;11;28;4;12;1;1163,264;229,376;0,7488;230,1248;1325;7651920,106
4;Preco Razao Elepot;5,78;5,3;5;26,5;12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8278071,583
5;Preco Razao Elepot;5,78;5,3;20;106;12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8119071,583
6;Preco Bat;5,78;5,3;10;53;6,4;33,92;9,75;51,675;6;15;11;28;5;14;0;1335,04;286,72;0;286,72;1325;8471241,749
7;Preco Bat;5,78;5,3;10;53;34,688;183,8464;9,75;51,675;6;15;11;27;5;13;1;1390,528;276,48;0,8112;277,2912;1525;7376041,249
8;Preco UC;5,78;5,3;10;53;12,8;67,84;5,85;31,005;6;15;11;28;5;26;0;1335,04;286,72;0;286,72;1000;8216222,482
9;Preco UC;5,78;5,3;10;53;12,8;67,84;13,65;72,345;6;15;11;27;5;15;1;1406,4;276,48;0,936;277,416;1225;7951958,047
10;C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2;15;11;28;5;13;0;1335,04;286,72;0;286,72;1000;3913775,475
11;C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10;15;11;28;5;14;0;1335,04;286,72;0;286,72;1525;8304834,573
12;Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
13;Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
14;Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
15;Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
