Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
Caso base;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Preco Diesel;3.69 (↓ 36.2%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;5030502.014483692 (↓ 38.8%)
Preco Diesel;7.46 (↑ 29.1%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;10792955.254596272 (↑ 31.2%)
Cotacao Dolar;5,78;4.58 (↓ 13.6%);10;45.8 (↓ 13.6%);12,8;58.624 (↓ 13.6%);9,75;44.655 (↓ 13.6%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8307894.819695824 (↑ 1.0%)
Cotacao Dolar;5,78;6.31 (↑ 19.1%);10;63.099999999999994 (↑ 19.1%);12,8;80.768 (↑ 19.1%);9,75;61.522499999999994 (↑ 19.1%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8108888.986141818 (↓ 1.4%)
Preco Razao Elepot;5,78;5,3;5.0 (↓ 50.0%);26.5 (↓ 50.0%);12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8278071.5826097615 (↑ 0.6%)
Preco Razao Elepot;5,78;5,3;20.0 (↑ 100.0%);106.0 (↑ 100.0%);12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8119071.5826097615 (↓ 1.3%)
Preco Bat;5,78;5,3;10;53;6.4 (↓ 50.0%);33.92 (↓ 50.0%);9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8472359.70799596 (↑ 3.0%)
Preco Bat;5,78;5,3;10;53;34.688 (↑ 171.0%);183.84640000000002 (↑ 171.0%);9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;7379346.193788972 (↓ 10.3%)
Preco UC;5,78;5,3;10;53;12,8;67,84;5.85 (↓ 40.0%);31.004999999999995 (↓ 40.0%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8228709.502609761 (↑ 0.0%)
Preco UC;5,78;5,3;10;53;12,8;67,84;13.65 (↑ 40.0%);72.345 (↑ 40.0%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8221433.662609762 (↓ 0.0%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2.0 (↓ 66.7%);15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;3763351.2452997547 (↓ 54.2%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10.0 (↑ 66.7%);15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8280266.355996675 (↑ 0.7%)
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8.0 (↓ 46.7%);11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22.0 (↑ 46.7%);11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6.0 (↓ 45.5%);27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18.0 (↑ 63.6%);27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
