Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
Caso base;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Preco Diesel;3.69 (↓ 36.2%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28.0 (↑ 3.7%);5;12.0 (↑ 9.1%);0.0 (↓ 100.0%);1335.04 (↓ 2.9%);286.72 (↑ 3.7%);0.0 (↓ 100.0%);286.72 (↑ 3.4%);1150.0 (↓ 24.6%);5022550.245888729 (↓ 38.9%)
Preco Diesel;7.46 (↑ 29.1%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28.0 (↑ 3.7%);5;18.0 (↑ 63.6%);0.0 (↓ 100.0%);1335.04 (↓ 2.9%);286.72 (↑ 3.7%);0.0 (↓ 100.0%);286.72 (↑ 3.4%);1100.0 (↓ 27.9%);10783384.85291664 (↑ 31.1%)
Cotacao Dolar;5,78;4.58 (↓ 13.6%);10;45.8 (↓ 13.6%);12,8;58.624 (↓ 13.6%);9,75;44.655 (↓ 13.6%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8307894.819695824 (↑ 1.0%)
Cotacao Dolar;5,78;6.31 (↑ 19.1%);10;63.099999999999994 (↑ 19.1%);12,8;80.768 (↑ 19.1%);9,75;61.522499999999994 (↑ 19.1%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8108888.986141818 (↓ 1.4%)
Preco Razao Elepot;5,78;5,3;5.0 (↓ 50.0%);26.5 (↓ 50.0%);12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8278071.582609762 (↑ 0.6%)
Preco Razao Elepot;5,78;5,3;20.0 (↑ 100.0%);106.0 (↑ 100.0%);12,8;67,84;9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8119071.582609762 (↓ 1.3%)
Preco Bat;5,78;5,3;10;53;6.4 (↓ 50.0%);33.92 (↓ 50.0%);9,75;51,675;6;15;11;28.0 (↑ 3.7%);5;15.0 (↑ 36.4%);0.0 (↓ 100.0%);1335.04 (↓ 2.9%);286.72 (↑ 3.7%);0.0 (↓ 100.0%);286.72 (↑ 3.4%);1275.0 (↓ 16.4%);8471241.748582251 (↑ 3.0%)
Preco Bat;5,78;5,3;10;53;34.688 (↑ 171.0%);183.8464 (↑ 171.0%);9,75;51,675;6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;7379346.193788972 (↓ 10.3%)
Preco UC;5,78;5,3;10;53;12,8;67,84;5.85 (↓ 40.0%);31.005 (↓ 40.0%);6;15;11;28.0 (↑ 3.7%);5;18.0 (↑ 63.6%);0.0 (↓ 100.0%);1335.04 (↓ 2.9%);286.72 (↑ 3.7%);0.0 (↓ 100.0%);286.72 (↑ 3.4%);1100.0 (↓ 27.9%);8216222.481615079 (↓ 0.1%)
Preco UC;5,78;5,3;10;53;12,8;67,84;13.65 (↑ 40.0%);72.345 (↑ 40.0%);6;15;11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8221433.662609762 (↓ 0.0%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2.0 (↓ 66.7%);15;11;28.0 (↑ 3.7%);5;12.0 (↑ 9.1%);0.0 (↓ 100.0%);1335.04 (↓ 2.9%);286.72 (↑ 3.7%);0.0 (↓ 100.0%);286.72 (↑ 3.4%);1050.0 (↓ 31.1%);3913775.475460147 (↓ 52.4%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10.0 (↑ 66.7%);15;11;27;5;18.0 (↑ 63.6%);0.0 (↓ 100.0%);1287.36 (↓ 6.4%);276,48;0.0 (↓ 100.0%);276.48 (↓ 0.2%);1400.0 (↓ 8.2%);8320296.856422562 (↑ 1.2%)
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8.0 (↓ 46.7%);11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22.0 (↑ 46.7%);11;27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6.0 (↓ 45.5%);27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18.0 (↑ 63.6%);27;5;11;1;1374,656;276,48;0,6864;277,1664;1525;8225071,583
