n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;266504.9920576494;ideal
3;60;2;0.0;0.0;0.0;f
4;80;1;0.0;0.0;129281.39011947066;ideal
5;100;1;0.0;0.0;434570.0384525899;ideal
6;120;1;0.0;0.0;19925.937132488936;ideal
7;140;1;0.0;0.0;266517.7203043699;ideal
8;160;1;0.0;0.0;3460.5721120033413;ideal
9;180;1;0.0;0.0;161933.87918245606;ideal
10;200;2;0.0;0.0;0.0;f
11;220;5;0.0;0.0;0.0;f
12;240;10;0.0;0.0;0.0;f
13;260;1;0.0;0.0;8104.111774498597;ideal
14;280;1;0.0;0.0;0.0;f
15;300;3;0.0;0.0;0.0;f
16;320;8;0.0;0.0;0.0;f
17;340;19;0.0;0.0;0.0;f
18;360;20;0.0;0.0;0.0;f
19;380;20;0.0;0.0;0.0;f
20;400;20;0.0;0.0;0.0;f
21;420;20;0.0;0.0;0.0;f
22;440;20;0.0;0.0;0.0;f
23;460;1;0.0;0.0;2833.191191440448;ideal
24;480;4;0.0;0.0;0.0;f
25;500;9;0.0;0.0;0.0;f
26;520;20;0.0;0.0;0.0;f
27;540;20;0.0;0.0;0.0;f
28;560;20;0.0;0.0;0.0;f
29;580;20;0.0;0.0;0.0;f
30;600;20;0.0;0.0;0.0;f
