;Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
0;Caso base;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
1;Preco Diesel;3,69;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5;13;0;1335,04;286,72;0;286,72;1500;8450773,838
2;Preco Diesel;7,46;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5;14;0;1335,04;286,72;0;286,72;1275;17942054,37
3;Cotacao Dolar;5,78;4,58;10;45,8;12,8;58,624;9,75;44,655;6;15;11;28;5;14;0;1335,04;286,72;0;286,72;1275;13826509,19
4;Cotacao Dolar;5,78;6,31;10;63,1;12,8;80,768;9,75;61,5225;6;15;11;28;5;13;0;1335,04;286,72;0;286,72;1500;13552614,22
5;Preco Razao Elepot;5,78;5,3;5;26,5;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12270613,51
6;Preco Razao Elepot;5,78;5,3;20;106;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12111613,51
7;Preco Bat;5,78;5,3;10;53;6,4;33,92;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12514035,17
8;Preco Bat;5,78;5,3;10;53;34,688;183,8464;9,75;51,675;6;15;11;28;4;21;2;1401,344;229,376;2,6208;231,9968;1600;11203851,43
9;Preco UC;5,78;5,3;10;53;12,8;67,84;5,85;31,005;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12231503,75
10;Preco UC;5,78;5,3;10;53;12,8;67,84;13,65;72,345;6;15;11;28;5;13;0;1335,04;286,72;0;286,72;1500;13712518,22
11;C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2;15;11;27;5;16;1;1414,336;276,48;0,9984;277,4784;1600;6002769,071
12;C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10;15;11;27;4;20;0;1029,888;221,184;0;221,184;1175;14192890,33
13;Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
14;Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
15;Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
16;Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
