Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
Caso base;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Preco Diesel;3.69 (↓ 36.2%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5.0 (↑ 25.0%);13.0 (↓ 7.1%);0.0 (↓ 100.0%);1335.04 (↓ 4.7%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 23.6%);1500.0 (↓ 6.2%);8450773.837511903 (↓ 30.8%)
Preco Diesel;7.46 (↑ 29.1%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5.0 (↑ 25.0%);14;0.0 (↓ 100.0%);1335.04 (↓ 4.7%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 23.6%);1275.0 (↓ 20.3%);17942054.37383052 (↑ 46.9%)
Cotacao Dolar;5,78;4.58 (↓ 13.6%);10;45.8 (↓ 13.6%);12,8;58.624 (↓ 13.6%);9,75;44.655 (↓ 13.6%);6;15;11;28;5.0 (↑ 25.0%);14;0.0 (↓ 100.0%);1335.04 (↓ 4.7%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 23.6%);1275.0 (↓ 20.3%);13826509.19235652 (↑ 13.2%)
Cotacao Dolar;5,78;6.31 (↑ 19.1%);10;63.09999999999999 (↑ 19.1%);12,8;80.768 (↑ 19.1%);9,75;61.52249999999999 (↑ 19.1%);6;15;11;28;5.0 (↑ 25.0%);13.0 (↓ 7.1%);0.0 (↓ 100.0%);1335.04 (↓ 4.7%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 23.6%);1500.0 (↓ 6.2%);13552614.21642635 (↑ 10.9%)
Preco Razao Elepot;5,78;5,3;5.0 (↓ 50.0%);26.5 (↓ 50.0%);12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12270613.5070698 (↑ 0.4%)
Preco Razao Elepot;5,78;5,3;20.0 (↑ 100.0%);106.0 (↑ 100.0%);12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12111613.5070698 (↓ 0.9%)
Preco Bat;5,78;5,3;10;53;6.4 (↓ 50.0%);33.92 (↓ 50.0%);9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12514035.1662118 (↑ 2.4%)
Preco Bat;5,78;5,3;10;53;34.688 (↑ 171.0%);183.8464 (↑ 171.0%);9,75;51,675;6;15;11;28;4;21.0 (↑ 50.0%);2.0 (↓ 33.3%);1401,344;229,376;2,6208;231,9968;1600;11203851.43280414 (↓ 8.3%)
Preco UC;5,78;5,3;10;53;12,8;67,84;5.85 (↓ 40.0%);31.005 (↓ 40.0%);6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12231503.7470698 (↑ 0.1%)
Preco UC;5,78;5,3;10;53;12,8;67,84;13.65 (↑ 40.0%);72.345 (↑ 40.0%);6;15;11;28;5.0 (↑ 25.0%);13.0 (↓ 7.1%);0.0 (↓ 100.0%);1335.04 (↓ 4.7%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 23.6%);1500.0 (↓ 6.2%);13712518.21971506 (↑ 12.2%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2.0 (↓ 66.7%);15;11;27.0 (↓ 3.6%);5.0 (↑ 25.0%);16.0 (↑ 14.3%);1.0 (↓ 66.7%);1414.336 (↑ 0.9%);276.48 (↑ 20.5%);0.9984 (↓ 61.9%);277.4784 (↑ 19.6%);1600;6002769.071460526 (↓ 50.9%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10.0 (↑ 66.7%);15;11;27.0 (↓ 3.6%);4;20.0 (↑ 42.9%);0.0 (↓ 100.0%);1029.888 (↓ 26.5%);221.184 (↓ 3.6%);0.0 (↓ 100.0%);221.184 (↓ 4.7%);1175.0 (↓ 26.6%);14192890.32849914 (↑ 16.2%)
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8.0 (↓ 46.7%);11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22.0 (↑ 46.7%);11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6.0 (↓ 45.5%);28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18.0 (↑ 63.6%);28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
