Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
Preco Diesel;3,69;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;7534573,495
Preco Diesel;7,46;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;15981971,03
Cotacao Dolar;5,78;4,58;10;45,8;12,8;58,624;9,75;44,655;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12317268,15
Cotacao Dolar;5,78;6,31;10;63,1;12,8;80,768;9,75;61,5225;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12077820,18
Preco Razao Elepot;5,78;5,3;5;26,5;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12270613,51
Preco Razao Elepot;5,78;5,3;20;106;12,8;67,84;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12111613,51
Preco Bat;5,78;5,3;10;53;6,4;33,92;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12514035,17
Preco Bat;5,78;5,3;10;53;34,688;183,8464;9,75;51,675;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;11203851,43
Preco UC;5,78;5,3;10;53;12,8;67,84;5,85;31,005;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12231503,75
Preco UC;5,78;5,3;10;53;12,8;67,84;13,65;72,345;6;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12203723,27
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;5089392,037
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10;15;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;13759833,52
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22;11;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18;28;4;14;3;1401,344;229,376;2,6208;231,9968;1600;12217613,51
