n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;103514.49499105848;ideal
3;60;1;0.0;0.0;157398.9786630245;ideal
4;80;1;0.0;0.0;0.0;f
5;100;1;0.0;0.0;19737.07346019987;ideal
6;120;1;0.0;0.0;186508.9055484729;ideal
7;140;1;0.0;0.0;477.6907846648246;ideal
8;160;3;0.0;0.0;0.0;f
9;180;7;0.0;0.0;0.0;f
10;200;14;0.0;0.0;0.0;f
11;220;20;0.0;0.0;0.0;f
12;240;1;0.0;0.0;3293.536295128055;ideal
13;260;1;0.0;0.0;865.8537508007139;ideal
14;280;4;0.0;0.0;0.0;f
15;300;1;0.0;0.0;893.1584848724306;ideal
16;320;1;0.0;0.0;4478.670088687912;ideal
17;340;4;0.0;0.0;0.0;f
18;360;1;0.0;0.0;129743.62197950389;ideal
19;380;2;0.0;0.0;0.0;f
20;400;3;0.0;0.0;0.0;f
21;420;1;0.0;0.0;18085.113754780963;ideal
22;440;1;0.0;0.0;0.0;f
23;460;1;0.0;0.0;0.0;f
24;480;1;0.0;0.0;7055.159008031711;ideal
25;500;2;0.0;0.0;0.0;f
26;520;4;0.0;0.0;0.0;f
27;540;1;0.0;0.0;3716.1319665946066;ideal
28;560;5;0.0;0.0;0.0;f
29;580;1;0.0;0.0;16494.730169697665;ideal
30;600;1;0.0;0.0;4583.251682844013;ideal
31;620;1;0.0;0.0;10835.387151072733;ideal
32;640;1;0.0;0.0;29929.232559538446;ideal
33;660;3;0.0;0.0;0.0;f
34;680;7;0.0;0.0;0.0;f
35;700;18;0.0;0.0;0.0;f
36;720;20;0.0;0.0;0.0;f
37;740;20;0.0;0.0;0.0;f
38;760;1;0.0;0.0;171.8322414495051;ideal
39;780;2;0.0;0.0;0.0;f
40;800;5;0.0;0.0;0.0;f
41;820;12;0.0;0.0;0.0;f
42;840;20;0.0;0.0;0.0;f
43;860;20;0.0;0.0;0.0;f
44;880;20;0.0;0.0;0.0;f
45;900;20;0.0;0.0;0.0;f
46;920;20;0.0;0.0;0.0;f
47;940;20;0.0;0.0;0.0;f
48;960;20;0.0;0.0;0.0;f
49;980;20;0.0;0.0;0.0;f
50;1000;20;0.0;0.0;0.0;f
51;1020;20;0.0;0.0;0.0;f
52;1040;20;0.0;0.0;0.0;f
53;1060;20;0.0;0.0;0.0;f
54;1080;20;0.0;0.0;0.0;f
55;1100;20;0.0;0.0;0.0;f
56;1120;20;0.0;0.0;0.0;f
57;1140;20;0.0;0.0;0.0;f
58;1160;20;0.0;0.0;0.0;f
59;1180;20;0.0;0.0;0.0;f
60;1200;20;0.0;0.0;0.0;f
