Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
Caso base;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7006170,727
Preco Diesel;3.69 (↓ 36.2%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;4108177.8686229074 (↓ 41.4%)
Preco Diesel;7.46 (↑ 29.1%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;9335657.809807047 (↑ 33.2%)
Cotacao Dolar;5,78;4.58 (↓ 13.6%);10;45.8 (↓ 13.6%);12,8;58.624 (↓ 13.6%);9,75;44.655 (↓ 13.6%);6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7143157.39965963 (↑ 2.0%)
Cotacao Dolar;5,78;6.31 (↑ 19.1%);10;63.099999999999994 (↑ 19.1%);12,8;80.768 (↑ 19.1%);9,75;61.522499999999994 (↑ 19.1%);6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;6814008.867374374 (↓ 2.7%)
Preco Razao Elepot;5,78;5,3;5.0 (↓ 50.0%);26.5 (↓ 50.0%);12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7059170.727263453 (↑ 0.8%)
Preco Razao Elepot;5,78;5,3;20.0 (↑ 100.0%);106.0 (↑ 100.0%);12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;6900170.7272634525 (↓ 1.5%)
Preco Bat;5,78;5,3;10;53;6.4 (↓ 50.0%);33.92 (↓ 50.0%);9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7448676.385388269 (↑ 6.3%)
Preco Bat;5,78;5,3;10;53;34.688 (↑ 171.0%);183.84640000000002 (↑ 171.0%);9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;5492801.376476586 (↓ 21.6%)
Preco UC;5,78;5,3;10;53;12,8;67,84;5.85 (↓ 40.0%);31.004999999999995 (↓ 40.0%);6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7013115.8472634535 (↑ 0.1%)
Preco UC;5,78;5,3;10;53;12,8;67,84;13.65 (↑ 40.0%);72.345 (↑ 40.0%);6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;6999225.607263453 (↓ 0.1%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2.0 (↓ 66.7%);15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;2580410.8755011624 (↓ 63.2%)
C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10.0 (↑ 66.7%);15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7057457.689693095 (↑ 0.7%)
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8.0 (↓ 46.7%);11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7006170,727
Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22.0 (↑ 46.7%);11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7006170,727
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6.0 (↓ 45.5%);28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7006170,727
Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18.0 (↑ 63.6%);28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7006170,727
