Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
Caso base;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7006170,727
Preco Diesel;3.69 (↓ 36.2%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5.0 (↑ 25.0%);11.0 (↓ 47.6%);0.0 (↓ 100.0%);1335.04 (↑ 8.1%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 24.3%);1100.0 (↓ 20.0%);4461322.518970323 (↓ 36.3%)
Preco Diesel;7.46 (↑ 29.1%);5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5.0 (↑ 25.0%);13.0 (↓ 38.1%);0.0 (↓ 100.0%);1335.04 (↑ 8.1%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 24.3%);1425.0 (↑ 3.6%);10136925.27596123 (↑ 44.7%)
Cotacao Dolar;5,78;4.58 (↓ 13.6%);10;45.8 (↓ 13.6%);12,8;58.624 (↓ 13.6%);9,75;44.655 (↓ 13.6%);6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7143157.39965963 (↑ 2.0%)
Cotacao Dolar;5,78;6.31 (↑ 19.1%);10;63.09999999999999 (↑ 19.1%);12,8;80.768 (↑ 19.1%);9,75;61.52249999999999 (↑ 19.1%);6;15;11;28;5.0 (↑ 25.0%);13.0 (↓ 38.1%);0.0 (↓ 100.0%);1335.04 (↑ 8.1%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 24.3%);1225.0 (↓ 10.9%);7399294.871687513 (↑ 5.6%)
Preco Razao Elepot;5,78;5,3;5.0 (↓ 50.0%);26.5 (↓ 50.0%);12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7059170.727263453 (↑ 0.8%)
Preco Razao Elepot;5,78;5,3;20.0 (↑ 100.0%);106.0 (↑ 100.0%);12,8;67,84;9,75;51,675;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;6900170.727263452 (↓ 1.5%)
Preco Bat;5,78;5,3;10;53;6.4 (↓ 50.0%);33.92 (↓ 50.0%);9,75;51,675;6;15;11;28;5.0 (↑ 25.0%);12.0 (↓ 42.9%);0.0 (↓ 100.0%);1335.04 (↑ 8.1%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 24.3%);1625.0 (↑ 18.2%);8101665.728652061 (↑ 15.6%)
Preco Bat;5,78;5,3;10;53;34.688 (↑ 171.0%);183.8464 (↑ 171.0%);9,75;51,675;6;15;11;27.0 (↓ 3.6%);5.0 (↑ 25.0%);16.0 (↓ 23.8%);0.0 (↓ 100.0%);1287.36 (↑ 4.3%);276.48 (↑ 20.5%);0.0 (↓ 100.0%);276.48 (↑ 19.9%);1675.0 (↑ 21.8%);5924488.802757631 (↓ 15.4%)
Preco UC;5,78;5,3;10;53;12,8;67,84;5.85 (↓ 40.0%);31.005 (↓ 40.0%);6;15;11;28;5.0 (↑ 25.0%);27.0 (↑ 28.6%);0.0 (↓ 100.0%);1335.04 (↑ 8.1%);286.72 (↑ 25.0%);0.0 (↓ 100.0%);286.72 (↑ 24.3%);1125.0 (↓ 18.2%);7607744.206532921 (↑ 8.6%)
